abandons, simple present, abandon
abandoning, present participle, abandon
abandoned, past participle, abandon
abilities, plural form, ability
abler, comparative degree, able
ablest, superlative, able
absolutes, plural form, absolute
academics, plural form, academic
accepts, simple present, accept
accepting, present participle, accept
accepted, past tense, accept
accesses, simple present, access
accessing, present participle, access
accessed, past tense, access
accidents, plural form, accident
accommodations, plural form, accommodation
accompanies, simple present, accompany
accompanying, present participle, accompany
accompanied, past participle, accompany
accords, simple present, according
according, present participle, according
accorded, past participle, according
accounts, plural form, account
accounted, past participle, account
accounting, present participle, account
accuses, simple present, accuse
accusing, present participle, accuse
accused, past tense, accuse
achieved, past participle, achieve
achieving, present participle, achieve
achieves, simple present, achieve
achievements, plural form, achievement
acknowledges, simple present, acknowledge
acknowledging, present participle, acknowledge
acknowledged, past participle, acknowledge
acquired, past participle, acquire
acquiring, present participle, acquire
acquires, simple present, acquire
acts, plural form, act
acting, present participle, act
acted, past tense, act
actions, plural form, action
actioning, present participle, action
actioned, past participle, action
activities, plural form, activity
actors, plural form, actor
actresses, plural form, actress
ads, plural form, ad
adapts, simple present, adapt
adapting, present participle, adapt
adapted, past tense, adapt
adds, simple present, add
adding, present participle, add
added, past tense, add
additions, plural form, addition
addresses, plural form, address
addressed, past participle, address
addressing, present participle, address
administrations, plural form, administration
admires, simple present, admire
admiring, present participle, admire
admired, past participle, admire
admitted, past participle, admit
admitting, present participle, admit
admits, simple present, admit
adopts, simple present, adopt
adopting, present participle, adopt
adopted, past tense, adopt
adults, plural form, adult
advanced, past participle, advance
advancing, present participle, advance
advances, simple present, advance
advantages, plural form, advantage
advantaged, past participle, advantage
advantaging, present participle, advantage
adventures, plural form, adventure
adventured, past participle, adventure
adventuring, present participle, adventure
advertised, past participle, advertise
advertising, present participle, advertise
advertises, simple present, advertise
advertisements, plural form, advertisement
advices, plural form, advice
advises, simple present, advise
advising, present participle, advise
advised, past tense, advise
affairs, plural form, affair
affects, plural form, affect
affected, past participle, affect
affecting, present participle, affect
afforded, past participle, afford
affording, present participle, afford
affords, simple present, afford
afternoons, plural form, afternoon
ages, plural form, age
aging, present participle, age
aged, past tense, age
agencies, plural form, agency
agendas, plural form, agenda
agents, plural form, agent
agreed, past participle, agree
agreeing, present participle, agree
agrees, simple present, agree
agreements, plural form, agreement
ahed, past participle, ah
ahing, present participle, ah
ahs, simple present, ah
aids, plural form, aid
aided, past participle, aid
aiding, present participle, aid
aims, plural form, aim
aimed, past participle, aim
aiming, present participle, aim
airs, simple present, air
airing, present participle, air
aired, past tense, air
airlines, plural form, airline
airports, plural form, airport
alarms, plural form, alarm
alarming, present participle, alarm
alarmed, past participle, alarm
albums, plural form, album
alcohols, plural form, alcohol
alcoholics, plural form, alcoholic
allows, simple present, allow
allowing, present participle, allow
allowed, past participle, allow
alters, simple present, alter
altering, present participle, alter
altered, past participle, alter
alternatives, plural form, alternative
ambitions, plural form, ambition
amounts, plural form, amount
analyses, simple present, analyse
analysing, present participle, analyse
analysed, past participle, analyse
analyses, plural form, analysis
ancients, plural form, ancient
ands, plural form, and
angered, past tense, anger
angering, present participle, anger
angers, simple present, anger
angles, plural form, angle
angled, past participle, angle
angling, present participle, angle
angrier, comparative degree, angry
angriest, superlative, angry
animals, plural form, animal
ankles, plural form, ankle
anniversaries, plural form, anniversary
announces, simple present, announce
announcing, present participle, announce
announced, past tense, announce
announcements, plural form, announcement
annoys, simple present, annoy
annoying, present participle, annoy
annoyed, past tense, annoy
annuals, plural form, annual
answers, plural form, answer
answered, past participle, answer
answering, present participle, answer
apartments, plural form, apartment
apologizes, simple present, apologize
apologizing, present participle, apologize
apologized, past tense, apologize
apps, plural form, app
appeals, plural form, appeal
appealing, present participle, appeal
appealed, past tense, appeal
appears, simple present, appear
appearing, present participle, appear
appeared, past participle, appear
appearances, plural form, appearance
apples, plural form, apple
applications, plural form, application
applies, simple present, apply
applying, present participle, apply
applied, past participle, apply
appointments, plural form, appointment
appreciates, simple present, appreciate
appreciating, present participle, appreciate
appreciated, past tense, appreciate
approaches, simple present, approach
approaching, present participle, approach
approached, past tense, approach
appropriated, past tense, appropriate
appropriating, present participle, appropriate
appropriates, simple present, appropriate
approvals, plural form, approval
approves, simple present, approve
approving, present participle, approve
approved, past tense, approve
aprils, plural form, april
architects, plural form, architect
areas, plural form, area
argues, simple present, argue
arguing, present participle, argue
argued, past participle, argue
arguments, plural form, argument
arose, past tense, arise
arisen, past participle, arise
arising, present participle, arise
arises, simple present, arise
armed, past participle, arm
arming, present participle, arm
arms, simple present, arm
armies, plural form, army
arranges, simple present, arrange
arranging, present participle, arrange
arranged, past tense, arrange
arrangements, plural form, arrangement
arrested, past participle, arrest
arresting, present participle, arrest
arrests, simple present, arrest
arrivals, plural form, arrival
arrived, past tense, arrive
arriving, present participle, arrive
arrives, simple present, arrive
arts, plural form, art
articles, plural form, article
articled, past participle, article
articling, present participle, article
artists, plural form, artist
asked, past participle, ask
asking, present participle, ask
asks, simple present, ask
aspects, plural form, aspect
assessed, past participle, assess
assessing, present participle, assess
assesses, simple present, assess
assessments, plural form, assessment
assignments, plural form, assignment
assists, simple present, assist
assisting, present participle, assist
assisted, past tense, assist
assistants, plural form, assistant
associates, simple present, associate
associating, present participle, associate
associated, past tense, associate
associations, plural form, association
assumes, simple present, assume
assuming, present participle, assume
assumed, past participle, assume
athletes, plural form, athlete
atmospheres, plural form, atmosphere
attaches, simple present, attach
attaching, present participle, attach
attached, past tense, attach
attacks, simple present, attack
attacking, present participle, attack
attacked, past tense, attack
attempts, plural form, attempt
attempted, past participle, attempt
attempting, present participle, attempt
attended, past participle, attend
