abolishes, simple present, abolish
abolishing, present participle, abolish
abolished, past participle, abolish
absences, plural form, absence
absented, past participle, absent
absenting, present participle, absent
absents, simple present, absent
absorbed, past participle, absorb
absorbing, present participle, absorb
absorbs, simple present, absorb
abstracts, plural form, abstract
abstracted, past participle, abstract
abstracting, present participle, abstract
abuses, plural form, abuse
abusing, present participle, abuse
abused, past participle, abuse
academies, plural form, academy
accelerated, past participle, accelerate
accelerating, present participle, accelerate
accelerates, simple present, accelerate
accents, simple present, accent
accenting, present participle, accent
accented, past tense, accent
acceptances, plural form, acceptance
accommodated, past participle, accommodate
accommodating, present participle, accommodate
accommodates, simple present, accommodate
accomplishes, simple present, accomplish
accomplishing, present participle, accomplish
accomplished, past tense, accomplish
accomplishments, plural form, accomplishment
accountants, plural form, accountant
accumulates, simple present, accumulate
accumulating, present participle, accumulate
accumulated, past tense, accumulate
accumulations, plural form, accumulation
accusations, plural form, accusation
accuses, simple present, accused
accusing, present participle, accused
accused, past tense, accused
acids, plural form, acid
acquisitions, plural form, acquisition
acres, plural form, acre
activated, past participle, activate
activating, present participle, activate
activates, simple present, activate
activists, plural form, activist
acutes, plural form, acute
adaptations, plural form, adaptation
addictions, plural form, addiction
adhered, past participle, adhere
adhering, present participle, adhere
adheres, simple present, adhere
adjusts, simple present, adjust
adjusting, present participle, adjust
adjusted, past tense, adjust
adjustments, plural form, adjustment
administers, simple present, administer
administering, present participle, administer
administered, past participle, administer
administrators, plural form, administrator
admissions, plural form, admission
adolescents, plural form, adolescent
adoptions, plural form, adoption
advocates, simple present, advocate
advocating, present participle, advocate
advocated, past tense, advocate
aesthetics, plural form, aesthetic
aftermaths, plural form, aftermath
aides, plural form, aide
aids, plural form, aids
aided, past participle, aids
aiding, present participle, aids
alerts, plural form, alert
alerting, present participle, alert
alerted, past participle, alert
aliens, plural form, alien
aliening, present participle, alien
aliened, past participle, alien
aligns, simple present, align
aligning, present participle, align
aligned, past tense, align
alignments, plural form, alignment
allegations, plural form, allegation
alleged, past participle, allege
alleging, present participle, allege
alleges, simple present, allege
alliances, plural form, alliance
allocates, simple present, allocate
allocating, present participle, allocate
allocated, past tense, allocate
allocations, plural form, allocation
allowances, plural form, allowance
allowanced, past participle, allowance
allowancing, present participle, allowance
allies, plural form, ally
allied, past participle, ally
allying, present participle, ally
amateurs, plural form, amateur
ambassadors, plural form, ambassador
ambulances, plural form, ambulance
amends, simple present, amend
amending, present participle, amend
amended, past participle, amend
amendments, plural form, amendment
analogies, plural form, analogy
analysts, plural form, analyst
ancestors, plural form, ancestor
anchors, simple present, anchor
anchoring, present participle, anchor
anchored, past tense, anchor
angels, plural form, angel
animations, plural form, animation
anticipates, simple present, anticipate
anticipating, present participle, anticipate
anticipated, past tense, anticipate
anxieties, plural form, anxiety
apologies, plural form, apology
apparatuses, plural form, apparatus
appetites, plural form, appetite
applauding, present participle, applaud
applauded, past tense, applaud
applauds, simple present, applaud
applicants, plural form, applicant
appointed, past participle, appoint
appointing, present participle, appoint
appoints, simple present, appoint
appreciations, plural form, appreciation
archives, plural form, archive
archiving, present participle, archive
archived, past participle, archive
arenas, plural form, arena
armed, past participle, arm
arming, present participle, arm
arms, simple present, arm
arrays, plural form, array
arrayed, past participle, array
arraying, present participle, array
arrows, plural form, arrow
arrowing, present participle, arrow
arrowed, past participle, arrow
articulated, past participle, articulate
articulating, present participle, articulate
articulates, simple present, articulate
artworks, plural form, artwork
ashes, plural form, ash
asides, plural form, aside
aspirations, plural form, aspiration
aspired, past participle, aspire
aspiring, present participle, aspire
aspires, simple present, aspire
assassinations, plural form, assassination
assaults, plural form, assault
assaulted, past participle, assault
assaulting, present participle, assault
assembles, simple present, assemble
assembling, present participle, assemble
assembled, past tense, assemble
assemblies, plural form, assembly
asserts, simple present, assert
asserting, present participle, assert
asserted, past participle, assert
assertions, plural form, assertion
assets, plural form, asset
assigned, past participle, assign
assigning, present participle, assign
assigns, simple present, assign
assumptions, plural form, assumption
assurances, plural form, assurance
assures, simple present, assure
assuring, present participle, assure
assured, past tense, assure
asylums, plural form, asylum
atrocities, plural form, atrocity
attachments, plural form, attachment
attains, simple present, attain
attaining, present participle, attain
attained, past participle, attain
attendances, plural form, attendance
attorneys, plural form, attorney
attributed, past tense, attribute
attributing, present participle, attribute
attributes, simple present, attribute
auctioned, past participle, auction
auctioning, present participle, auction
auctions, simple present, auction
audits, plural form, audit
auditing, present participle, audit
audited, past participle, audit
authorizes, simple present, authorize
authorizing, present participle, authorize
authorized, past participle, authorize
autos, plural form, auto
automatics, plural form, automatic
awaits, simple present, await
awaiting, present participle, await
awaited, past tense, await
backdrops, plural form, backdrop
backings, plural form, backing
backups, plural form, backup
badges, plural form, badge
badged, past participle, badge
badging, present participle, badge
bails, plural form, bail
bailed, past participle, bail
bailing, present participle, bail
ballets, plural form, ballet
balloons, plural form, balloon
ballooning, present participle, balloon
ballooned, past tense, balloon
ballots, simple present, ballot
balloting, present participle, ballot
balloted, past tense, ballot
banners, plural form, banner
bannered, past participle, banner
bannering, present participle, banner
barer, comparative degree, bare
barest, superlative, bare
bared, past participle, bare
baring, present participle, bare
bares, simple present, bare
bargains, plural form, bargain
bargained, past participle, bargain
bargaining, present participle, bargain
barrels, plural form, barrel
barrelling, present participle, barrel
barrelled, past tense, barrel
basements, plural form, basement
baskets, plural form, basket
bats, plural form, bat
batting, present participle, bat
batted, past participle, bat
battlefields, plural form, battlefield
